CustomerID,purchase_cnt,item_cnt,recency,user_total,user_average,unique_products,average_interval,total_transactions,cancel_frequency,cancel_rate
17715,1,384,200,326.4,326.4,1,0.0,1,0,0.0
13967,2,42,145,80.7,40.4,2,0.0,1,0,0.0
13877,3,108,86,117.2,39.1,3,0.0,1,0,0.0
14054,6,62,65,92.5,15.4,6,0.0,1,0,0.0
14340,6,58,218,134.7,22.4,6,0.0,1,0,0.0
17879,6,45,173,178.5,29.8,6,0.0,1,0,0.0
15432,10,65,23,171.2,17.1,10,0.0,1,0,0.0
16096,12,155,264,320.6,26.7,12,0.0,1,0,0.0
14484,14,210,50,321.9,23.0,14,0.0,1,0,0.0
12436,14,203,99,416.4,29.7,14,0.0,1,0,0.0
16183,15,113,67,338.7,22.6,15,0.0,1,0,0.0
15319,16,175,283,204.5,12.8,16,0.0,1,0,0.0
16404,23,157,70,443.1,19.3,23,0.0,1,0,0.0
12920,27,128,17,162.8,6.0,27,0.0,1,0,0.0
13244,27,38,92,121.7,4.5,27,0.0,1,0,0.0
16613,30,293,70,618.6,20.6,30,0.0,1,0,0.0
12390,31,350,79,504.8,16.3,31,0.0,1,0,0.0
16017,32,102,47,211.9,6.6,26,0.0,1,0,0.0
17201,38,231,53,289.8,7.6,38,0.0,1,0,0.0
14036,38,268,284,626.6,16.5,38,0.0,1,0,0.0
14953,54,224,25,285.7,5.3,54,0.0,1,0,0.0
15313,1,25,110,52.0,52.0,1,0.0,1,0,0.0
17408,2,3,163,32.6,16.3,2,0.0,1,0,0.0
13651,5,32,39,79.2,15.8,5,0.0,1,0,0.0
13947,5,44,65,90.6,18.1,5,0.0,1,0,0.0
15567,7,223,18,186.0,26.6,7,0.0,1,0,0.0
15447,9,85,330,155.2,17.2,9,0.0,1,0,0.0
15935,11,114,239,108.0,9.8,11,0.0,1,0,0.0
12770,12,743,210,1351.4,112.6,12,0.0,1,0,0.0
14799,13,146,51,157.7,12.1,13,0.0,1,0,0.0
18010,14,60,256,174.8,12.5,14,0.0,1,0,0.0
16315,14,75,330,226.4,16.2,14,0.0,1,0,0.0
17153,14,104,24,213.8,15.3,14,0.0,1,0,0.0
13621,18,331,116,208.8,11.6,18,0.0,1,0,0.0
15623,19,125,141,301.0,15.8,19,0.0,1,0,0.0
17919,22,732,88,1294.0,58.8,22,0.0,1,0,0.0
17542,25,134,269,170.8,6.8,24,0.0,1,0,0.0
12447,25,187,243,431.5,17.3,25,0.0,1,0,0.0
17222,27,122,65,328.6,12.2,27,0.0,1,0,0.0
16104,28,122,61,298.2,10.7,28,0.0,1,0,0.0
18212,34,92,326,216.1,6.4,30,0.0,1,0,0.0
15795,42,581,149,610.0,14.5,42,0.0,1,0,0.0
14076,44,79,129,118.7,2.7,43,0.0,1,0,0.0
12446,57,351,57,1002.3,17.6,57,0.0,1,0,0.0
16054,69,379,145,781.8,11.3,69,0.0,1,0,0.0
17752,1,192,359,80.6,80.6,1,0.0,1,0,0.0
16429,2,9,106,284.6,142.3,2,0.0,1,0,0.0
15286,3,55,49,240.6,80.2,3,0.0,1,0,0.0
14345,6,50,38,109.0,18.2,6,0.0,1,0,0.0
15180,6,36,367,87.5,14.6,6,0.0,1,0,0.0
14494,7,92,25,139.6,19.9,7,0.0,1,0,0.0
14693,8,34,264,172.9,21.6,8,0.0,1,0,0.0
14847,13,120,148,309.4,23.8,13,0.0,1,0,0.0
17987,13,261,185,198.6,15.3,13,0.0,1,0,0.0
16587,13,71,232,225.2,17.3,13,0.0,1,0,0.0
17973,15,176,51,337.0,22.5,15,0.0,1,0,0.0
17678,16,207,263,298.1,18.6,16,0.0,1,0,0.0
15552,17,60,217,90.1,5.3,17,0.0,1,0,0.0
14536,18,39,259,170.9,9.5,18,0.0,1,0,0.0
16193,19,219,236,314.4,16.5,19,0.0,1,0,0.0
15130,22,197,169,330.1,15.0,22,0.0,1,0,0.0
16751,25,1031,30,1764.7,70.6,24,0.0,1,0,0.0
12824,25,232,59,397.1,15.9,25,0.0,1,0,0.0
17899,31,170,159,154.5,5.0,29,0.0,1,0,0.0
12644,31,325,129,477.9,15.4,31,0.0,1,0,0.0
17051,42,179,194,240.9,5.7,40,0.0,1,0,0.0
17431,43,292,313,403.3,9.4,41,0.0,1,0,0.0
17303,53,144,361,250.0,4.7,53,0.0,1,0,0.0
17301,59,137,21,163.2,2.8,59,0.0,1,0,0.0
15423,2,101,38,43.5,21.8,2,0.0,1,0,0.0
16784,3,24,19,107.6,35.9,3,0.0,1,0,0.0
17775,3,72,254,56.4,18.8,3,0.0,1,0,0.0
14117,3,72,143,90.0,30.0,3,0.0,1,0,0.0
15593,5,60,70,199.8,40.0,5,0.0,1,0,0.0
13161,8,29,313,112.8,14.1,8,0.0,1,0,0.0
16282,11,114,339,168.3,15.3,11,0.0,1,0,0.0
15236,14,263,298,308.4,22.0,14,0.0,1,0,0.0
18027,21,78,98,115.3,5.5,21,0.0,1,0,0.0
15975,24,243,84,371.0,15.5,24,0.0,1,0,0.0
15448,28,232,312,494.6,17.7,28,0.0,1,0,0.0
14830,38,163,53,188.0,4.9,38,0.0,1,0,0.0
16595,85,335,61,360.2,4.2,83,0.0,1,0,0.0
15049,3,63,273,121.2,40.4,3,0.0,1,0,0.0
12864,3,216,138,147.1,49.0,3,0.0,1,0,0.0
14124,5,1618,84,419.6,83.9,4,0.0,1,0,0.0
16213,6,48,78,159.0,26.5,6,0.0,1,0,0.0
13807,7,36,367,112.6,16.1,7,0.0,1,0,0.0
13182,11,201,45,121.2,11.0,11,0.0,1,0,0.0
17535,13,136,280,164.4,12.6,13,0.0,1,0,0.0
14870,13,119,261,327.3,25.2,13,0.0,1,0,0.0
15143,14,150,225,259.4,18.5,14,0.0,1,0,0.0
13245,16,125,50,430.5,26.9,16,0.0,1,0,0.0
18251,16,7824,87,4314.7,269.7,16,0.0,1,0,0.0
12350,16,196,310,294.4,18.4,16,0.0,1,0,0.0
12531,17,45,14,125.2,7.4,17,0.0,1,0,0.0
18120,17,31,214,111.2,6.5,17,0.0,1,0,0.0
14974,17,37,37,89.9,5.3,17,0.0,1,0,0.0
12564,20,130,261,402.9,20.1,20,0.0,1,0,0.0
14165,23,44,275,116.7,5.1,22,0.0,1,0,0.0
16063,23,262,260,335.3,14.6,23,0.0,1,0,0.0
13570,27,161,243,239.5,8.9,27,0.0,1,0,0.0
16753,33,187,58,223.1,6.8,33,0.0,1,0,0.0
15677,33,319,49,657.2,19.9,33,0.0,1,0,0.0
15335,35,79,53,170.2,4.9,34,0.0,1,0,0.0
16769,38,80,260,361.5,9.5,33,0.0,1,0,0.0
15900,47,216,23,337.3,7.2,44,0.0,1,0,0.0
12611,64,840,52,1180.7,18.4,64,0.0,1,0,0.0
17914,75,457,3,329.4,4.4,72,0.0,1,0,0.0
15657,1,24,22,30.0,30.0,1,0.0,1,0,0.0
15070,1,36,372,106.2,106.2,1,0.0,1,0,0.0
14795,6,17,166,131.4,21.9,6,0.0,1,0,0.0
17574,8,77,242,185.7,23.2,8,0.0,1,0,0.0
17534,9,103,53,223.4,24.8,9,0.0,1,0,0.0
12831,9,135,262,215.1,23.9,9,0.0,1,0,0.0
12672,10,78,329,225.9,22.6,10,0.0,1,0,0.0
16450,11,200,149,311.9,28.4,11,0.0,1,0,0.0
15096,11,120,42,219.4,19.9,11,0.0,1,0,0.0
15766,11,170,64,315.1,28.6,11,0.0,1,0,0.0
14012,11,160,277,328.8,29.9,11,0.0,1,0,0.0
14079,12,301,124,375.1,31.3,12,0.0,1,0,0.0
